epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.9494,0.30287,0.92625,1,0.15574,0.06766,0.000326667,0.000326667
2,49.0038,0.1476,0.95375,1,0.10962,0.0346303,0.0006303,0.0006303
3,72.9348,0.12792,0.97625,1,0.0752,0.0015706,0.000903933,0.000903933
4,97.6819,0.11739,0.9775,1,0.06689,0.000865,0.000865,0.000865
5,120.09,0.10257,0.96625,1,0.08812,0.00082,0.00082,0.00082
6,146.583,0.08954,0.975,1,0.07729,0.000775,0.000775,0.000775
7,168.794,0.08238,0.97,1,0.09353,0.00073,0.00073,0.00073
8,192.135,0.06881,0.985,1,0.05038,0.000685,0.000685,0.000685
9,217.182,0.05289,0.98375,1,0.05266,0.00064,0.00064,0.00064
10,244.942,0.06256,0.97625,1,0.07553,0.000595,0.000595,0.000595
11,272.858,0.06869,0.97625,1,0.05295,0.00055,0.00055,0.00055
12,295.415,0.03919,0.985,1,0.05224,0.000505,0.000505,0.000505
13,317.218,0.04914,0.98,1,0.07014,0.00046,0.00046,0.00046
14,339.546,0.05016,0.9825,1,0.07855,0.000415,0.000415,0.000415
15,363.101,0.04045,0.98625,1,0.04923,0.00037,0.00037,0.00037
16,385.231,0.03263,0.985,1,0.04386,0.000325,0.000325,0.000325
17,407.49,0.04399,0.98625,1,0.04073,0.00028,0.00028,0.00028
18,427.835,0.03399,0.98375,1,0.05143,0.000235,0.000235,0.000235
19,451.302,0.04203,0.98625,1,0.04284,0.00019,0.00019,0.00019
20,472.683,0.02498,0.985,1,0.05525,0.000145,0.000145,0.000145
