epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.228,0.33337,0.92625,1,0.16626,0.06766,0.000326667,0.000326667
2,52.21,0.14504,0.94875,1,0.14585,0.0346303,0.0006303,0.0006303
3,77.1881,0.13239,0.9675,1,0.089,0.0015706,0.000903933,0.000903933
4,102.428,0.1177,0.9725,1,0.07917,0.000865,0.000865,0.000865
5,125.324,0.10071,0.97625,1,0.09377,0.00082,0.00082,0.00082
6,151.558,0.09589,0.9775,1,0.09016,0.000775,0.000775,0.000775
7,173.505,0.08768,0.975,1,0.06577,0.00073,0.00073,0.00073
8,195.472,0.07121,0.985,1,0.0549,0.000685,0.000685,0.000685
9,217.815,0.06612,0.97875,1,0.06156,0.00064,0.00064,0.00064
10,242.377,0.05561,0.98,1,0.06304,0.000595,0.000595,0.000595
11,272.412,0.06043,0.98,1,0.06437,0.00055,0.00055,0.00055
12,296.037,0.05121,0.985,1,0.04237,0.000505,0.000505,0.000505
13,317.992,0.05078,0.98375,1,0.04555,0.00046,0.00046,0.00046
14,340.571,0.04897,0.98625,1,0.08543,0.000415,0.000415,0.000415
15,366.775,0.03825,0.985,1,0.03923,0.00037,0.00037,0.00037
16,389.537,0.03886,0.98125,1,0.04323,0.000325,0.000325,0.000325
17,412.452,0.03802,0.9875,1,0.03654,0.00028,0.00028,0.00028
18,434.083,0.04067,0.985,1,0.04143,0.000235,0.000235,0.000235
19,458.985,0.04318,0.9825,1,0.04239,0.00019,0.00019,0.00019
20,480.964,0.02311,0.98625,1,0.05404,0.000145,0.000145,0.000145
