epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.7868,0.23465,0.97875,1,0.05063,0.06766,0.000326667,0.000326667
2,51.3015,0.09668,0.96875,1,0.08558,0.0346303,0.0006303,0.0006303
3,75.6983,0.10889,0.97,1,0.09573,0.0015706,0.000903933,0.000903933
4,101.289,0.09252,0.97875,1,0.06348,0.000865,0.000865,0.000865
5,124.285,0.11172,0.98,1,0.08756,0.00082,0.00082,0.00082
6,146.803,0.09247,0.9825,1,0.05587,0.000775,0.000775,0.000775
7,171.278,0.07744,0.97125,1,0.06518,0.00073,0.00073,0.00073
8,195.982,0.05957,0.98875,1,0.03584,0.000685,0.000685,0.000685
9,219.696,0.05449,0.9775,1,0.04613,0.00064,0.00064,0.00064
10,244.145,0.03385,0.985,1,0.03155,0.000595,0.000595,0.000595
11,272.079,0.04971,0.98875,1,0.04665,0.00055,0.00055,0.00055
12,295.527,0.03693,0.98125,1,0.04069,0.000505,0.000505,0.000505
13,318.194,0.03148,0.9875,1,0.02743,0.00046,0.00046,0.00046
14,340.796,0.04429,0.98625,1,0.0401,0.000415,0.000415,0.000415
15,362.932,0.02763,0.985,1,0.03151,0.00037,0.00037,0.00037
16,386.661,0.0231,0.99,1,0.03544,0.000325,0.000325,0.000325
17,413.369,0.02666,0.98125,1,0.0486,0.00028,0.00028,0.00028
18,436.414,0.02169,0.9875,1,0.0307,0.000235,0.000235,0.000235
19,459.907,0.02503,0.9875,1,0.02755,0.00019,0.00019,0.00019
20,481.474,0.01358,0.98875,1,0.04528,0.000145,0.000145,0.000145
