epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.3261,0.24849,0.97875,1,0.06233,0.06766,0.000326667,0.000326667
2,50.6572,0.09027,0.96625,1,0.10512,0.0346303,0.0006303,0.0006303
3,75.1805,0.11379,0.975,1,0.06049,0.0015706,0.000903933,0.000903933
4,99.8502,0.10329,0.98,1,0.0601,0.000865,0.000865,0.000865
5,120.094,0.08344,0.975,1,0.09334,0.00082,0.00082,0.00082
6,142.426,0.08982,0.9825,1,0.07367,0.000775,0.000775,0.000775
7,162.883,0.07881,0.98125,1,0.06707,0.00073,0.00073,0.00073
8,183.768,0.06547,0.98125,1,0.0501,0.000685,0.000685,0.000685
9,206.347,0.05662,0.985,1,0.04144,0.00064,0.00064,0.00064
10,228.069,0.04512,0.98875,1,0.04196,0.000595,0.000595,0.000595
11,257.513,0.06011,0.98625,1,0.03298,0.00055,0.00055,0.00055
12,278.959,0.02203,0.98875,1,0.02832,0.000505,0.000505,0.000505
13,303.745,0.03607,0.98375,1,0.03389,0.00046,0.00046,0.00046
14,325.793,0.03272,0.9875,1,0.05747,0.000415,0.000415,0.000415
15,348.852,0.02667,0.985,1,0.03617,0.00037,0.00037,0.00037
16,373.031,0.02828,0.99375,1,0.02336,0.000325,0.000325,0.000325
17,395.847,0.03173,0.98625,1,0.03893,0.00028,0.00028,0.00028
18,418.982,0.0257,0.985,1,0.03431,0.000235,0.000235,0.000235
19,441.25,0.02469,0.98625,1,0.03594,0.00019,0.00019,0.00019
20,465.355,0.01203,0.98625,1,0.04127,0.000145,0.000145,0.000145
