epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.3796,0.25607,0.97625,1,0.05406,0.06766,0.000326667,0.000326667
2,49.4585,0.09144,0.935,1,0.17152,0.0346303,0.0006303,0.0006303
3,72.3512,0.09795,0.98375,1,0.07537,0.0015706,0.000903933,0.000903933
4,94.7227,0.10576,0.98625,1,0.03855,0.000865,0.000865,0.000865
5,117.914,0.09507,0.98375,1,0.04678,0.00082,0.00082,0.00082
6,141.243,0.08144,0.9775,1,0.06291,0.000775,0.000775,0.000775
7,167.476,0.0846,0.96625,1,0.07401,0.00073,0.00073,0.00073
8,191.701,0.05517,0.97875,1,0.05154,0.000685,0.000685,0.000685
9,214.941,0.04801,0.97875,1,0.05821,0.00064,0.00064,0.00064
10,239.451,0.03856,0.9825,1,0.0515,0.000595,0.000595,0.000595
11,269.54,0.03697,0.97875,1,0.05604,0.00055,0.00055,0.00055
12,291.282,0.03421,0.985,1,0.04059,0.000505,0.000505,0.000505
13,313.081,0.03212,0.98125,1,0.0467,0.00046,0.00046,0.00046
14,334.996,0.04013,0.98625,1,0.04767,0.000415,0.000415,0.000415
15,359.018,0.03352,0.98375,1,0.0465,0.00037,0.00037,0.00037
16,381.358,0.03266,0.9825,1,0.04587,0.000325,0.000325,0.000325
17,404.042,0.02124,0.98375,1,0.05329,0.00028,0.00028,0.00028
18,425.678,0.02173,0.99,1,0.0405,0.000235,0.000235,0.000235
19,448.027,0.02733,0.98625,1,0.04087,0.00019,0.00019,0.00019
20,469.933,0.0127,0.985,1,0.07694,0.000145,0.000145,0.000145
