epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.4921,0.31452,0.92,1,0.18002,0.06766,0.000326667,0.000326667
2,51.757,0.14246,0.955,1,0.11601,0.0346303,0.0006303,0.0006303
3,75.875,0.12607,0.975,1,0.07052,0.0015706,0.000903933,0.000903933
4,100.795,0.12286,0.97375,1,0.05487,0.000865,0.000865,0.000865
5,123.019,0.10418,0.9675,1,0.09172,0.00082,0.00082,0.00082
6,149.043,0.10055,0.975,1,0.08439,0.000775,0.000775,0.000775
7,170.281,0.08898,0.975,1,0.06627,0.00073,0.00073,0.00073
8,192.68,0.07239,0.985,1,0.06697,0.000685,0.000685,0.000685
9,217.183,0.06285,0.97375,1,0.076,0.00064,0.00064,0.00064
10,243.934,0.06008,0.98,1,0.06808,0.000595,0.000595,0.000595
11,271.697,0.05934,0.97875,1,0.05641,0.00055,0.00055,0.00055
12,294.153,0.04617,0.98625,1,0.03482,0.000505,0.000505,0.000505
13,317.237,0.04708,0.9675,1,0.07538,0.00046,0.00046,0.00046
14,338.343,0.05295,0.98375,1,0.06744,0.000415,0.000415,0.000415
15,361.668,0.04695,0.98125,1,0.04828,0.00037,0.00037,0.00037
16,386.79,0.04061,0.985,1,0.04624,0.000325,0.000325,0.000325
17,411.545,0.04489,0.98625,1,0.04209,0.00028,0.00028,0.00028
18,433.854,0.0342,0.98375,1,0.04995,0.000235,0.000235,0.000235
19,457.394,0.04065,0.98625,1,0.04191,0.00019,0.00019,0.00019
20,482.556,0.01989,0.985,1,0.04842,0.000145,0.000145,0.000145
