epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.284,0.28334,0.9225,1,0.1746,0.06766,0.000326667,0.000326667
2,51.1276,0.11228,0.95875,1,0.10399,0.0346303,0.0006303,0.0006303
3,75.2459,0.11823,0.9775,1,0.07653,0.0015706,0.000903933,0.000903933
4,98.5794,0.09874,0.97875,1,0.0539,0.000865,0.000865,0.000865
5,118.807,0.08259,0.9825,1,0.03893,0.00082,0.00082,0.00082
6,142.277,0.07518,0.97875,1,0.07681,0.000775,0.000775,0.000775
7,166.55,0.07135,0.98375,1,0.04147,0.00073,0.00073,0.00073
8,188.145,0.06403,0.9775,1,0.07637,0.000685,0.000685,0.000685
9,208.726,0.04915,0.985,1,0.03558,0.00064,0.00064,0.00064
10,230.648,0.03591,0.98625,1,0.03823,0.000595,0.000595,0.000595
11,260.657,0.04477,0.98625,1,0.043,0.00055,0.00055,0.00055
12,283.575,0.02894,0.98375,1,0.03939,0.000505,0.000505,0.000505
13,305.232,0.04149,0.985,1,0.04431,0.00046,0.00046,0.00046
14,329.558,0.0389,0.98875,1,0.04025,0.000415,0.000415,0.000415
15,355.944,0.03881,0.98375,1,0.04724,0.00037,0.00037,0.00037
16,379.883,0.0282,0.98625,1,0.04773,0.000325,0.000325,0.000325
17,401.892,0.03027,0.9875,1,0.04155,0.00028,0.00028,0.00028
18,421.645,0.02806,0.98625,1,0.05077,0.000235,0.000235,0.000235
19,444.521,0.03114,0.98625,1,0.03831,0.00019,0.00019,0.00019
20,466.001,0.01542,0.98875,1,0.04971,0.000145,0.000145,0.000145
