epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.3958,0.25811,0.9075,1,0.19549,0.06766,0.000326667,0.000326667
2,50.1682,0.11231,0.9725,1,0.0803,0.0346303,0.0006303,0.0006303
3,72.2,0.10395,0.9825,1,0.06257,0.0015706,0.000903933,0.000903933
4,94.4152,0.10032,0.96375,1,0.09594,0.000865,0.000865,0.000865
5,118.211,0.09817,0.96375,1,0.09654,0.00082,0.00082,0.00082
6,140.833,0.08064,0.97125,1,0.08376,0.000775,0.000775,0.000775
7,164.491,0.07773,0.945,1,0.15008,0.00073,0.00073,0.00073
8,188.806,0.06793,0.98125,1,0.07466,0.000685,0.000685,0.000685
9,209.901,0.05052,0.98375,1,0.03705,0.00064,0.00064,0.00064
10,232.695,0.04114,0.985,1,0.04138,0.000595,0.000595,0.000595
11,261.209,0.04487,0.98625,1,0.04995,0.00055,0.00055,0.00055
12,282.948,0.02352,0.99,1,0.03163,0.000505,0.000505,0.000505
13,304.007,0.04225,0.99,1,0.02282,0.00046,0.00046,0.00046
14,328.344,0.04324,0.98875,1,0.03325,0.000415,0.000415,0.000415
15,350.301,0.03616,0.9825,1,0.03491,0.00037,0.00037,0.00037
16,373.522,0.02732,0.9875,1,0.03187,0.000325,0.000325,0.000325
17,395.358,0.02838,0.98875,1,0.03417,0.00028,0.00028,0.00028
18,419.666,0.03129,0.9925,1,0.02824,0.000235,0.000235,0.000235
19,447.073,0.02924,0.985,1,0.04096,0.00019,0.00019,0.00019
20,471.033,0.01743,0.9875,1,0.0373,0.000145,0.000145,0.000145
