epoch,train_loss,val_loss,val_iou,val_dice
1,0.30692220494880545,0.20994038254983963,0.5885599990114805,0.7365457066623384
2,0.19314568833662912,0.18577143934465223,0.5936675116977286,0.7409139872261973
3,0.15644650656234968,0.18133902333436475,0.5910698067370828,0.7379277434688513
4,0.1392793798675904,0.17683641035710612,0.6107031927965556,0.7538285210033474
5,0.12012348829449473,0.19944054921788554,0.5907470927995497,0.7335689525601131
6,0.11559597090199276,0.18437618497879274,0.6117590071888873,0.7533221186901132
7,0.11130350265469584,0.19685176627770548,0.5739127231412705,0.7227441474797184
8,0.09266142687805883,0.15862362735694455,0.6594351853370888,0.7909994692803586
9,0.08182570580523331,0.16797477956260404,0.6421865088716318,0.7780810598683252
10,0.07491417627755578,0.16343733968753968,0.6528939140546126,0.7871977012673456
11,0.06855604602219341,0.1669047001388765,0.6571774467055732,0.7896919841780071
12,0.06120753337765907,0.1666361070688694,0.6516197359385615,0.7860377989737778
13,0.055678739114762184,0.17535947683838107,0.660162015545199,0.792278664828383
14,0.053199578701824575,0.17116469913913357,0.6663885543708393,0.7964746247080943
15,0.050759849366504,0.17730804917312437,0.6597700427825915,0.791616221926983
16,0.049910504800769,0.18469512174206396,0.6617274650961742,0.793054267802359
17,0.048267477276650345,0.18342699254712752,0.6612878167842017,0.7930006190001707
18,0.047834995586972136,0.18276210009090363,0.6638868519289016,0.7945546536833751
19,0.0451127192774019,0.19691802417078325,0.6514702616636209,0.7857338013197904
20,0.043468202887610954,0.19512488909306064,0.6565462330865381,0.7888110508886509
21,0.042212092767020204,0.18885887318080471,0.6610044340073581,0.7925535046943407
22,0.040972428422395166,0.19288071256972128,0.6647425480687237,0.7955849705645707
23,0.042743865257272355,0.19733650657919147,0.6598807678030897,0.7915077330682163
24,0.040976131686589104,0.20087721895787022,0.6606603704172737,0.7925759991942177
25,0.03854133906429048,0.20683074382043654,0.6574357125762843,0.7896417394176268
26,0.03746369809329093,0.20724337860461203,0.658467836584137,0.7903083948174179
27,0.03604771978371627,0.21383556891833583,0.6517819155110688,0.7851215803671866
28,0.03553074936975132,0.2143021247559978,0.6530809476271612,0.7866213831890709
