epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.5809,0.27707,0.95375,1,0.1173,0.06766,0.000326667,0.000326667
2,48.6711,0.11771,0.97375,1,0.07343,0.0346303,0.0006303,0.0006303
3,71.2071,0.10176,0.97625,1,0.06406,0.0015706,0.000903933,0.000903933
4,94.4346,0.09494,0.97875,1,0.06895,0.000865,0.000865,0.000865
5,117.164,0.08657,0.9775,1,0.0527,0.00082,0.00082,0.00082
6,141.83,0.08097,0.98125,1,0.06397,0.000775,0.000775,0.000775
7,165.333,0.06992,0.98125,1,0.06378,0.00073,0.00073,0.00073
8,185.165,0.05254,0.975,1,0.05472,0.000685,0.000685,0.000685
9,206.668,0.04454,0.9875,1,0.05089,0.00064,0.00064,0.00064
10,231.765,0.04691,0.95125,1,0.12746,0.000595,0.000595,0.000595
11,260.77,0.0546,0.97875,1,0.05942,0.00055,0.00055,0.00055
12,284.084,0.03489,0.98125,1,0.0487,0.000505,0.000505,0.000505
13,306.254,0.05141,0.99,1,0.03547,0.00046,0.00046,0.00046
14,330.233,0.04477,0.98375,1,0.05119,0.000415,0.000415,0.000415
15,355.401,0.0385,0.99375,1,0.01858,0.00037,0.00037,0.00037
16,376.826,0.02663,0.99125,1,0.02702,0.000325,0.000325,0.000325
17,398.599,0.02718,0.99,1,0.02452,0.00028,0.00028,0.00028
18,424.334,0.03075,0.9875,1,0.0362,0.000235,0.000235,0.000235
19,451.623,0.02976,0.9925,1,0.02924,0.00019,0.00019,0.00019
20,475.763,0.0134,0.98875,1,0.04893,0.000145,0.000145,0.000145
